seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
30008367,2,9430.0,3300.5,5,30,84,62,3290.0,9,learned ACO restart 1,9.95,ok,
30008365,3,7359.0,2575.65,5,30,88,59,2551.0,7,learned ACO restart 1,11.988,ok,
30008366,4,18895.0,6613.25,5,30,101,69,6409.0,10,learned ACO restart 1,13.151,ok,
30008368,3,9171.0,3209.85,5,30,91,59,3105.0,5,learned ACO restart 2,10.452,ok,
30008369,4,17793.0,6227.55,5,30,81,50,6121.0,7,learned ACO restart 1,12.063,ok,
30008370,2,7472.0,2615.2,5,30,98,75,2520.0,8,learned ACO restart 1,11.604,ok,
30008371,3,9971.0,3489.85,5,30,81,61,3397.0,7,learned ACO restart 1,11.871,ok,
30008372,4,15893.0,5562.55,5,30,88,60,5446.0,7,learned ACO restart 3,10.252,ok,
30008373,2,9794.0,3427.9,5,30,80,55,3360.0,9,learned ACO restart 1,9.608,ok,
30008374,3,11358.0,3975.3,5,30,93,62,3950.0,7,learned ACO restart 1,11.475,ok,
30008375,4,11452.0,4008.2,5,30,99,69,3989.0,7,learned ACO restart 1,11.107,ok,
30008376,2,10409.0,3643.15,5,30,81,60,3618.0,8,learned ACO restart 1,10.313,ok,
30008378,4,13576.0,4751.6,5,30,89,61,4714.0,6,learned ACO restart 2,10.387,ok,
30008379,2,6418.0,2246.3,5,30,98,71,2215.0,6,learned ACO restart 2,10.221,ok,
30008377,3,6389.0,2236.15,5,30,90,62,2161.0,7,learned ACO restart 1,11.602,ok,
30008380,3,12986.0,4545.1,5,30,100,71,4538.0,7,learned ACO restart 1,11.009,ok,
30008381,4,11746.0,4111.1,5,30,88,50,4009.0,6,learned ACO restart 2,10.817,ok,
30008382,2,9087.0,3180.45,5,30,91,64,3081.0,10,learned ACO restart 1,10.287,ok,
30008384,4,19278.0,6747.3,5,30,97,64,6579.0,7,learned ACO restart 1,11.861,ok,
30008383,3,7332.0,2566.2,5,30,96,67,2444.0,10,learned ACO restart 3,13.561,ok,
30008387,4,19651.0,6877.85,5,30,78,53,6745.0,6,learned ACO restart 1,8.945,ok,
30008388,2,10659.0,3730.65,5,30,95,67,3655.0,8,learned ACO restart 3,9.367,ok,
30008385,2,6741.0,2359.35,5,30,94,66,2356.0,7,learned ACO restart 2,11.109,ok,
